sample_id,site_id,site_name,location_id,matrix,latitude,longitude,collection_date,analysis_date,analyte,analytical_method,analyte_category,result_value,result_unit,detection_limit,qualifier,regulatory_mcl,lab_name,validator_initials,flag_missing_field,flag_duplicate_id,flag_impossible_value,holding_time_days,flag_holding_time_violation,flag_regulatory_exceedance,overall_qaqc_status,regulatory_status
MW-03-07-20241215-00001,SITE-03,Former Gas Station - Paterson,MW-03-07,GW,40.923445,-74.165705,2024-12-15,2025-02-26,Arsenic,EPA 6020,METAL,11.672,ug/L,0.5,,10.0,Eurofins TestAmerica,KP,False,False,False,73.0,False,True,PASS,EXCEEDANCE
MW-01-01-20230324-00002,SITE-01,Former Dry Cleaner - Newark,MW-01-01,GW,40.734478,-74.165228,2023-03-24,2023-04-02,Trichloroethylene,EPA 8260,VOC,0.752,ug/L,0.25,,5.0,Eurofins TestAmerica,TL,False,False,False,9.0,False,False,PASS,WITHIN_LIMIT
MW-01-06-20240926-00003,SITE-01,Former Dry Cleaner - Newark,MW-01-06,GW,40.744235,-74.169523,2024-09-26,2024-10-25,Lead,EPA 6020,METAL,2.836,ug/L,0.75,,15.0,Eurofins TestAmerica,RS,False,False,False,29.0,False,False,PASS,WITHIN_LIMIT
SB-02-08-20230321-00004,SITE-02,Industrial Park - Elizabeth,SB-02-08,SOIL,40.654776,-74.217614,2023-03-21,2023-03-21,pH,EPA 9040,FIELD,7.32,SU,0.01,,,ALS Environmental,KP,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
SB-04-05-20230831-00005,SITE-04,Rail Yard - Kearny,SB-04-05,SOIL,40.772503,-74.139785,2023-08-31,2023-10-17,Lead,EPA 6020,METAL,8.544,ug/L,0.75,,15.0,ALS Environmental,RS,False,False,False,47.0,False,False,PASS,WITHIN_LIMIT
SB-02-05-20230329-00006,SITE-02,Industrial Park - Elizabeth,SB-02-05,SOIL,40.660991,-74.201286,,2023-03-30,Benzene,EPA 8260,VOC,0.459,ug/L,0.25,,5.0,Eurofins TestAmerica,TL,True,False,False,,True,False,FAIL,WITHIN_LIMIT
SB-04-01-20230611-00007,SITE-04,Rail Yard - Kearny,SB-04-01,SOIL,40.76615,-74.149633,2023-06-11,2023-06-14,Arsenic,EPA 6020,METAL,5.593,ug/L,0.5,,10.0,ALS Environmental,KP,False,False,False,3.0,False,False,PASS,WITHIN_LIMIT
SB-04-02-20240616-00008,SITE-04,Rail Yard - Kearny,SB-04-02,SOIL,40.77205,-74.152605,2024-06-16,2024-06-24,Trichloroethylene,EPA 8260,VOC,0.062,ug/L,0.25,U,5.0,Pace Analytical,JM,False,False,False,8.0,False,False,PASS,WITHIN_LIMIT
SB-02-07-20230512-00009,SITE-02,Industrial Park - Elizabeth,SB-02-07,SOIL,40.657793,-74.211366,2023-05-12,2023-06-12,Chromium,EPA 6020,METAL,27.754,ug/L,5.0,,100.0,Eurofins TestAmerica,TL,False,False,False,31.0,False,False,PASS,WITHIN_LIMIT
SB-04-01-20231112-00010,SITE-04,Rail Yard - Kearny,SB-04-01,SOIL,40.76615,-74.149633,2023-11-12,2024-01-04,Lead,EPA 6020,METAL,106.228,ug/L,0.75,,15.0,Pace Analytical,KP,False,False,False,53.0,False,True,PASS,EXCEEDANCE
SB-04-08-20230317-00011,SITE-04,Rail Yard - Kearny,SB-04-08,SOIL,40.771768,-74.145978,2023-03-17,2023-03-26,Benzene,EPA 8260,VOC,39.657,ug/L,0.25,,5.0,Eurofins TestAmerica,RS,False,False,False,9.0,False,True,PASS,EXCEEDANCE
MW-03-03-20230901-00012,SITE-03,Former Gas Station - Paterson,MW-03-03,GW,40.909398,-74.172286,2023-09-01,2023-09-16,Mercury,EPA 7470,METAL,0.013,ug/L,0.1,,2.0,Eurofins TestAmerica,JM,False,False,False,15.0,False,False,PASS,WITHIN_LIMIT
MW-05-03-20230508-00013,SITE-05,Chemical Plant - Linden,MW-05-03,GW,40.620171,-74.237532,2023-05-08,2023-07-03,Arsenic,EPA 6020,METAL,4.687,ug/L,0.5,,10.0,Pace Analytical,JM,False,False,False,56.0,False,False,PASS,WITHIN_LIMIT
SB-04-04-20241024-00014,SITE-04,Rail Yard - Kearny,SB-04-04,SOIL,40.774138,-74.142103,2024-10-24,2024-12-20,Cadmium,EPA 6020,METAL,6.342,ug/L,0.25,,5.0,Pace Analytical,JM,False,False,False,57.0,False,True,PASS,EXCEEDANCE
MW-01-02-20240520-00015,SITE-01,Former Dry Cleaner - Newark,MW-01-02,GW,40.739647,-74.180516,2024-05-20,2024-05-24,Trichloroethylene,EPA 8260,VOC,7.037,ug/L,0.25,,5.0,ALS Environmental,JM,False,False,False,4.0,False,True,PASS,EXCEEDANCE
MW-05-05-20230923-00016,SITE-05,Chemical Plant - Linden,MW-05-05,GW,40.617628,-74.248728,2023-09-23,2024-03-03,Chromium,EPA 6020,METAL,406.377,ug/L,5.0,,100.0,Pace Analytical,RS,False,False,False,162.0,False,True,PASS,EXCEEDANCE
MW-01-02-20240201-00017,SITE-01,Former Dry Cleaner - Newark,MW-01-02,GW,40.739647,-74.180516,2024-02-01,2024-02-03,Vinyl Chloride,EPA 8260,VOC,1.669,ug/L,0.1,,2.0,ALS Environmental,JM,False,False,False,2.0,False,False,PASS,WITHIN_LIMIT
MW-05-02-20240417-00018,SITE-05,Chemical Plant - Linden,MW-05-02,GW,40.620734,-74.250308,2024-04-17,2024-04-17,Trichloroethylene,EPA 8260,VOC,2.621,ug/L,0.25,,5.0,ALS Environmental,TL,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
